width,angle_in_degrees
4,43.8
5,55.3
6,-87.7
7,54.2
8,61.5
9,68.0
10,84.7
11,-71.0
12,-69.5
13,-68.2
14,-67.1
15,-66.2
16,-65.4
17,-64.7
18,-64.1
19,-63.6
