width,angle_in_degrees
4,61.5
5,84.7
6,57.9
7,49.2
8,56.3
9,53.6
10,59.3
11,34.1
12,36.0
13,50.3
14,46.9
15,24.8
16,28.3
17,43.4
18,40.2
19,34.6
